sic_code,mac_intensity_scope1,mac_intensity_scope2,skew
1, 1.417 , 0.000 , 51.496 
2, 0.044 , 0.001 , 62.063 
3, 0.391 , 0.017 , 79.661 
5, 14.846 , 0.010 , -   
6, 0.709 , 0.004 , 99.922 
7, -   , -   , -   
8, 0.187 , 0.038 , 98.183 
9, 0.016 , 0.012 , 99.215 
10, 0.073 , 0.010 , 98.444 
11, 0.083 , 0.009 , 98.347 
12, 0.007 , 0.001 , -   
13, 0.177 , 0.010 , 87.691 
14, 0.141 , 0.002 , 73.707 
15, 0.072 , 0.009 , 91.991 
16, 0.241 , 0.009 , 81.947 
17, 0.218 , 0.032 , 98.643 
18, 0.061 , 0.018 , 82.275 
19, 0.416 , 0.008 , 99.986 
20, 0.253 , 0.020 , 98.538 
21, 0.019 , 0.004 , 99.630 
22, 0.185 , 0.018 , 95.887 
23, 0.856 , 0.019 , 95.642 
24, 0.783 , 0.015 , 98.523 
25, 0.109 , 0.012 , 87.600 
26, 0.043 , 0.005 , 95.826 
27, 0.079 , 0.004 , 96.437 
28, 0.062 , 0.005 , 97.491 
29, 0.033 , 0.006 , 99.337 
30, 0.034 , 0.005 , 99.339 
31, 0.110 , 0.009 , 85.911 
32, 0.060 , 0.006 , 82.654 
33, 0.018 , 0.005 , 89.231 
35, 0.594 , 0.259 , 99.280 
36, 0.113 , 0.034 , 99.901 
37, 0.269 , 0.007 , 94.035 
38, 0.870 , 0.005 , 95.133 
39, 0.006 , 0.001 , 81.268 
41, 0.012 , 0.002 , 86.849 
42, 0.062 , 0.001 , 92.659 
43, 0.038 , 0.002 , 66.881 
45, 0.033 , 0.005 , 92.868 
46, 0.045 , 0.006 , 97.572 
47, 0.035 , 0.014 , 90.019 
49, 0.384 , 0.005 , 85.731 
50, 1.346 , 0.001 , 98.315 
51, 1.799 , 0.001 , 99.219 
52, 0.028 , 0.007 , 95.852 
53, 0.067 , 0.002 , 90.945 
55, 0.030 , 0.020 , 87.861 
56, 0.039 , 0.010 , 66.734 
58, 0.003 , 0.001 , 92.131 
59, 0.005 , 0.003 , 90.281 
60, 0.001 , 0.001 , 98.029 
61, 0.004 , 0.008 , 97.918 
62, 0.002 , 0.004 , 82.638 
63, 0.002 , 0.015 , 93.593 
64, 0.000 , 0.002 , 99.826 
65, 0.000 , 0.000 , 99.900 
66, 0.002 , 0.004 , 98.639 
68, 0.003 , 0.004 , 79.543 
69, 0.003 , 0.002 , 83.849 
70, 0.010 , 0.003 , 79.181 
71, 0.007 , 0.002 , 82.408 
72, 0.006 , 0.002 , 96.287 
73, 0.002 , 0.001 , 91.008 
74, 0.005 , 0.003 , 58.281 
75, 0.009 , 0.003 , 81.549 
77, 0.031 , 0.002 , 93.502 
78, 0.004 , 0.001 , 91.593 
79, 0.015 , 0.006 , 95.226 
80, 0.019 , 0.002 , 78.308 
81, 0.035 , 0.003 , 80.802 
82, 0.015 , 0.005 , 74.237 
84, 0.024 , 0.003 , 98.603 
85, 0.014 , 0.003 , 91.578 
86, 0.020 , 0.003 , 92.908 
87, 0.013 , 0.002 , 93.770 
88, 0.013 , 0.003 , 71.264 
90, 0.007 , 0.006 , 64.103 
91, 0.010 , 0.010 , 86.326 
92, 0.006 , 0.003 , 99.588 
93, 0.036 , 0.011 , 83.223 
94, 0.018 , 0.003 , 75.356 
95, 0.015 , 0.002 , 78.617 
96, 0.023 , 0.002 , 47.836 
97, -   , -   , -   
98, -   , -   , -   
99, -   , -   , -
