"sic_section","sic_code","sic_name","hotspot_1","hotspot_2","hotspot_3","hotspot_4","hotspot_5"
"A",2,"Forestry and logging","Business & Industrial > Agriculture & Forestry > Forestry","Business & Industrial > Agriculture & Forestry","Travel > Bus & Rail","Business & Industrial > Business Services > Office Supplies","Autos & Vehicles > Vehicle Parts & Services > Gas Prices & Vehicle Fueling"
"A",3,"Fishing and aquaculture","Business & Industrial > Agriculture & Forestry > Livestock","Business & Industrial > Agriculture & Forestry","Business & Industrial > Manufacturing","Travel > Cruises & Charters","Business & Industrial > Business Services > Office Supplies"
"B",8,"Other mining and quarrying","Business & Industrial > Metals & Mining","Business & Industrial > Business Services > Office Supplies","Autos & Vehicles > Vehicle Parts & Services > Gas Prices & Vehicle Fueling","Business & Industrial > Construction & Maintenance","Business & Industrial > Construction & Maintenance"
"C",10,"Manufacture of food products","Food & Drink > Food & Grocery Retailers","Food & Drink > Food > Baked Goods","Food & Drink > Food","Food & Drink > Food > Meat & Seafood","Food & Drink > Food > Candy & Sweets"
"C",11,"Manufacture of beverages","Food & Drink > Beverages > Alcoholic Beverages","Business & Industrial > Agriculture & Forestry","Food & Drink > Food & Grocery Retailers","Shopping","Business & Industrial > Industrial Materials & Equipment"
"C",13,"Manufacture of textiles","Business & Industrial > Textiles & Nonwovens","Shopping","Business & Industrial > Business Services > Office Supplies","Home & Garden > Home Furnishings","Business & Industrial > Manufacturing"
"C",14,"Manufacture of wearing apparel","Shopping > Apparel","Business & Industrial > Textiles & Nonwovens","Shopping > Apparel > Women's Clothing","Shopping","Shopping > Apparel > Men's Clothing"
"C",15,"Manufacture of leather and related products","Business & Industrial > Textiles & Nonwovens","Shopping > Apparel","Shopping > Apparel > Footwear","Business & Industrial","Shopping"
"C",16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Business & Industrial > Construction & Maintenance > Building Materials & Supplies","Business & Industrial > Business Services > Office Supplies","Business & Industrial > Construction & Maintenance","Shopping","Autos & Vehicles > Vehicle Shopping"
"C",17,"Manufacture of paper and paper products","Business & Industrial > Industrial Materials & Equipment","Business & Industrial > Business Services > Office Supplies","Business & Industrial","Business & Industrial > Transportation & Logistics > Packaging","Business & Industrial > Transportation & Logistics"
"C",18,"Printing and reproduction of recorded media","Business & Industrial > Printing & Publishing","Business & Industrial > Industrial Materials & Equipment","Shopping","Business & Industrial > Business Services > Office Supplies","Business & Industrial > Business Services"
"C",20,"Manufacture of chemicals and chemical products","Business & Industrial > Chemicals Industry","Beauty & Fitness > Face & Body Care > Hygiene & Toiletries","Business & Industrial > Chemicals Industry > Cleaning Agents","Business & Industrial > Construction & Maintenance > Building Materials & Supplies","Business & Industrial > Chemicals Industry > Plastics & Polymers"
"C",22,"Manufacture of rubber and plastic products","Business & Industrial > Chemicals Industry > Plastics & Polymers","Business & Industrial > Business Services > Office Supplies","Business & Industrial > Construction & Maintenance > Building Materials & Supplies","Business & Industrial > Construction & Maintenance > Building Materials & Supplies","Business & Industrial > Manufacturing"
"C",23,"Manufacture of other non-metallic mineral products","Business & Industrial > Construction & Maintenance > Building Materials & Supplies","Business & Industrial > Business Services > Office Supplies","Shopping","Business & Industrial > Construction & Maintenance","Food & Drink > Food & Grocery Retailers"
"C",24,"Manufacture of basic metals","Business & Industrial > Metals & Mining","Business & Industrial > Business Services > Office Supplies","Business & Industrial > Industrial Materials & Equipment","Business & Industrial > Manufacturing","Business & Industrial > Construction & Maintenance"
"C",25,"Manufacture of fabricated metal products, except machinery and equipment","Business & Industrial > Manufacturing","Business & Industrial > Business Services > Office Supplies","Business & Industrial > Construction & Maintenance > Building Materials & Supplies","Business & Industrial > Metals & Mining","Business & Industrial > Industrial Materials & Equipment"
"C",26,"Manufacture of computer, electronic and optical products","Computers & Electronics > Electronics & Electrical","Computers & Electronics > Consumer Electronics","Business & Industrial > Industrial Materials & Equipment","Computers & Electronics > Electronics & Electrical > Electronic Components","Computers & Electronics > Computer Hardware"
"C",27,"Manufacture of electrical equipment","Computers & Electronics > Electronics & Electrical","Business & Industrial > Business Services > Office Supplies","Business & Industrial > Industrial Materials & Equipment","Shopping","Travel > Bus & Rail"
"C",28,"Manufacture of machinery and equipment nec","Business & Industrial > Industrial Materials & Equipment","Business & Industrial > Industrial Materials & Equipment > Heavy Machinery","Business & Industrial > Business Services > Office Supplies","Business & Industrial > Manufacturing","Business & Industrial > Agriculture & Forestry > Agricultural Equipment"
"C",29,"Manufacture of motor vehicles, trailers and semi-trailers","Autos & Vehicles > Motor Vehicles (By Type)","Autos & Vehicles > Vehicle Parts & Services > Vehicle Parts & Accessories","Business & Industrial > Business Services > Office Supplies","Autos & Vehicles > Campers & RVs","Autos & Vehicles > Vehicle Shopping"
"C",30,"Manufacture of other transport equipment","Autos & Vehicles > Boats & Watercraft","Business & Industrial > Industrial Materials & Equipment > Heavy Machinery","Business & Industrial > Business Services > Office Supplies","Travel > Cruises & Charters","Travel > Bus & Rail"
"C",31,"Manufacture of furniture","Business & Industrial > Business Services > Office Supplies","Business & Industrial > Construction & Maintenance > Building Materials & Supplies","Home & Garden > Home Furnishings","Shopping","Business & Industrial > Construction & Maintenance"
